StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile,SSIM
0.11,0.5,0.2,21.54,46.425255,0088.png,0.999503
0.11,0.5,0.25,25.42,39.339103,0089.png,0.999428
0.11,0.75,0.05,10.69,93.54537,0090.png,0.999425
0.11,0.75,0.1,11.99,83.402836,0091.png,0.999449
0.11,0.75,0.15,14.68,68.119891,0092.png,0.999485
0.11,0.75,0.2,16.95,58.99705,0093.png,0.999493
0.11,0.75,0.25,20.69,48.332528,0094.png,0.999414
0.11,1.0,0.05,7.96,125.628141,0095.png,0.9994
0.11,1.0,0.1,9.02,110.864745,0096.png,0.999465
0.11,1.0,0.15,11.94,83.752094,0097.png,0.999443
0.11,1.0,0.2,14.48,69.060773,0098.png,0.999507
0.11,1.0,0.25,18.37,54.436581,0099.png,0.999464
0.11,1.25,0.05,6.54,152.905199,0100.png,0.999194
0.11,1.25,0.1,7.64,130.890052,0101.png,0.99942
0.11,1.25,0.15,10.0,100.0,0102.png,0.999388
0.11,1.25,0.2,12.64,79.113924,0103.png,0.999401
0.11,1.25,0.25,16.69,59.916117,0104.png,0.99943
0.11,1.5,0.05,5.69,175.746924,0105.png,0.998889
0.11,1.5,0.1,7.27,137.551582,0106.png,0.99938
0.11,1.5,0.15,9.11,109.769484,0107.png,0.999413
0.11,1.5,0.2,11.46,87.260035,0108.png,0.999447
0.11,1.5,0.25,15.13,66.093853,0109.png,0.99948
0.11,1.75,0.05,4.94,202.42915,0110.png,0.998255
0.11,1.75,0.1,5.83,171.526587,0111.png,0.999242
0.11,1.75,0.15,7.91,126.42225,0112.png,0.999442
0.11,1.75,0.2,10.31,96.99321,0113.png,0.999466
0.11,1.75,0.25,14.47,69.1085,0114.png,0.999473
0.11,2.0,0.05,4.52,221.238938,0115.png,0.997153
0.11,2.0,0.1,5.36,186.567164,0116.png,0.998925
0.11,2.0,0.15,7.29,137.174211,0117.png,0.999293
0.11,2.0,0.2,9.44,105.932203,0118.png,0.9994
0.11,2.0,0.25,13.83,72.30658,0119.png,0.999435
0.16,0.25,0.05,29.03,34.447124,0120.png,0.999362
0.16,0.25,0.1,29.4,34.013605,0121.png,0.99921
0.16,0.25,0.15,30.11,33.211558,0122.png,0.999305
0.16,0.25,0.2,30.75,32.520325,0123.png,0.999291
0.16,0.25,0.25,31.71,31.535793,0124.png,0.999332
0.16,0.5,0.05,15.42,64.850843,0125.png,0.999279
0.16,0.5,0.1,15.71,63.653724,0126.png,0.999221
0.16,0.5,0.15,17.24,58.00464,0127.png,0.999282
0.16,0.5,0.2,18.82,53.134963,0128.png,0.99925
0.16,0.5,0.25,21.79,45.892611,0129.png,0.99929
0.16,0.75,0.05,10.62,94.161959,0130.png,0.999303
